Created as New Dataset;
cm-1;%T
4000,00;73,53
3998,00;73,52
3996,00;73,50
3994,00;73,49
3992,00;73,48
3990,00;73,46
3988,00;73,44
3986,00;73,43
3984,00;73,41
3982,00;73,40
3980,00;73,38
3978,00;73,36
3976,00;73,35
3974,00;73,33
3972,00;73,32
3970,00;73,30
3968,00;73,28
3966,00;73,26
3964,00;73,25
3962,00;73,23
3960,00;73,22
3958,00;73,20
3956,00;73,18
3954,00;73,16
3952,00;73,14
3950,00;73,12
3948,00;73,10
3946,00;73,09
3944,00;73,08
3942,00;73,07
3940,00;73,05
3938,00;73,03
3936,00;72,99
3934,00;72,95
3932,00;72,90
3930,00;72,85
3928,00;72,80
3926,00;72,76
3924,00;72,73
3922,00;72,71
3920,00;72,69
3918,00;72,66
3916,00;72,63
3914,00;72,60
3912,00;72,57
3910,00;72,54
3908,00;72,52
3906,00;72,49
3904,00;72,47
3902,00;72,44
3900,00;72,41
3898,00;72,38
3896,00;72,35
3894,00;72,32
3892,00;72,29
3890,00;72,26
3888,00;72,23
3886,00;72,21
3884,00;72,18
3882,00;72,16
3880,00;72,14
3878,00;72,12
3876,00;72,10
3874,00;72,09
3872,00;72,07
3870,00;72,06
3868,00;72,04
3866,00;72,03
3864,00;72,02
3862,00;72,01
3860,00;72,00
3858,00;71,99
3856,00;71,98
3854,00;71,97
3852,00;71,96
3850,00;71,95
3848,00;71,94
3846,00;71,93
3844,00;71,93
3842,00;71,92
3840,00;71,91
3838,00;71,90
3836,00;71,89
3834,00;71,88
3832,00;71,88
3830,00;71,87
3828,00;71,86
3826,00;71,86
3824,00;71,85
3822,00;71,85
3820,00;71,84
3818,00;71,83
3816,00;71,82
3814,00;71,81
3812,00;71,80
3810,00;71,79
3808,00;71,77
3806,00;71,76
3804,00;71,74
3802,00;71,73
3800,00;71,72
3798,00;71,70
3796,00;71,69
3794,00;71,67
3792,00;71,66
3790,00;71,64
3788,00;71,63
3786,00;71,61
3784,00;71,59
3782,00;71,57
3780,00;71,55
3778,00;71,53
3776,00;71,50
3774,00;71,48
3772,00;71,45
3770,00;71,43
3768,00;71,41
3766,00;71,40
3764,00;71,38
3762,00;71,36
3760,00;71,35
3758,00;71,34
3756,00;71,32
3754,00;71,31
3752,00;71,29
3750,00;71,28
3748,00;71,26
3746,00;71,24
3744,00;71,21
3742,00;71,19
3740,00;71,17
3738,00;71,15
3736,00;71,14
3734,00;71,12
3732,00;71,11
3730,00;71,10
3728,00;71,09
3726,00;71,08
3724,00;71,08
3722,00;71,08
3720,00;71,07
3718,00;71,07
3716,00;71,06
3714,00;71,06
3712,00;71,05
3710,00;71,04
3708,00;71,04
3706,00;71,03
3704,00;71,02
3702,00;71,01
3700,00;71,00
3698,00;70,99
3696,00;70,98
3694,00;70,97
3692,00;70,95
3690,00;70,94
3688,00;70,92
3686,00;70,91
3684,00;70,89
3682,00;70,87
3680,00;70,85
3678,00;70,83
3676,00;70,82
3674,00;70,80
3672,00;70,78
3670,00;70,76
3668,00;70,75
3666,00;70,74
3664,00;70,72
3662,00;70,71
3660,00;70,70
3658,00;70,69
3656,00;70,68
3654,00;70,66
3652,00;70,65
3650,00;70,63
3648,00;70,62
3646,00;70,60
3644,00;70,58
3642,00;70,56
3640,00;70,54
3638,00;70,52
3636,00;70,50
3634,00;70,49
3632,00;70,47
3630,00;70,46
3628,00;70,44
3626,00;70,43
3624,00;70,42
3622,00;70,40
3620,00;70,39
3618,00;70,38
3616,00;70,36
3614,00;70,35
3612,00;70,33
3610,00;70,32
3608,00;70,30
3606,00;70,29
3604,00;70,28
3602,00;70,26
3600,00;70,25
3598,00;70,24
3596,00;70,23
3594,00;70,22
3592,00;70,21
3590,00;70,20
3588,00;70,19
3586,00;70,18
3584,00;70,17
3582,00;70,16
3580,00;70,14
3578,00;70,13
3576,00;70,11
3574,00;70,10
3572,00;70,09
3570,00;70,07
3568,00;70,06
3566,00;70,05
3564,00;70,04
3562,00;70,02
3560,00;70,01
3558,00;70,00
3556,00;69,99
3554,00;69,98
3552,00;69,97
3550,00;69,95
3548,00;69,94
3546,00;69,93
3544,00;69,92
3542,00;69,90
3540,00;69,89
3538,00;69,88
3536,00;69,87
3534,00;69,86
3532,00;69,85
3530,00;69,83
3528,00;69,82
3526,00;69,81
3524,00;69,80
3522,00;69,79
3520,00;69,78
3518,00;69,77
3516,00;69,76
3514,00;69,74
3512,00;69,73
3510,00;69,72
3508,00;69,71
3506,00;69,70
3504,00;69,69
3502,00;69,68
3500,00;69,67
3498,00;69,66
3496,00;69,66
3494,00;69,65
3492,00;69,64
3490,00;69,63
3488,00;69,62
3486,00;69,61
3484,00;69,61
3482,00;69,60
3480,00;69,59
3478,00;69,58
3476,00;69,57
3474,00;69,56
3472,00;69,55
3470,00;69,54
3468,00;69,53
3466,00;69,51
3464,00;69,50
3462,00;69,48
3460,00;69,46
3458,00;69,45
3456,00;69,43
3454,00;69,40
3452,00;69,38
3450,00;69,36
3448,00;69,33
3446,00;69,30
3444,00;69,28
3442,00;69,25
3440,00;69,22
3438,00;69,19
3436,00;69,16
3434,00;69,13
3432,00;69,11
3430,00;69,08
3428,00;69,05
3426,00;69,02
3424,00;69,00
3422,00;68,97
3420,00;68,95
3418,00;68,92
3416,00;68,90
3414,00;68,87
3412,00;68,85
3410,00;68,83
3408,00;68,81
3406,00;68,79
3404,00;68,76
3402,00;68,74
3400,00;68,72
3398,00;68,70
3396,00;68,68
3394,00;68,66
3392,00;68,64
3390,00;68,62
3388,00;68,60
3386,00;68,58
3384,00;68,56
3382,00;68,54
3380,00;68,52
3378,00;68,50
3376,00;68,48
3374,00;68,46
3372,00;68,45
3370,00;68,43
3368,00;68,41
3366,00;68,39
3364,00;68,38
3362,00;68,36
3360,00;68,34
3358,00;68,32
3356,00;68,30
3354,00;68,28
3352,00;68,27
3350,00;68,25
3348,00;68,23
3346,00;68,21
3344,00;68,19
3342,00;68,17
3340,00;68,16
3338,00;68,14
3336,00;68,12
3334,00;68,10
3332,00;68,09
3330,00;68,07
3328,00;68,05
3326,00;68,03
3324,00;68,01
3322,00;67,99
3320,00;67,98
3318,00;67,96
3316,00;67,94
3314,00;67,92
3312,00;67,90
3310,00;67,89
3308,00;67,87
3306,00;67,85
3304,00;67,83
3302,00;67,82
3300,00;67,80
3298,00;67,78
3296,00;67,76
3294,00;67,74
3292,00;67,72
3290,00;67,70
3288,00;67,68
3286,00;67,66
3284,00;67,64
3282,00;67,62
3280,00;67,60
3278,00;67,58
3276,00;67,56
3274,00;67,54
3272,00;67,52
3270,00;67,50
3268,00;67,49
3266,00;67,47
3264,00;67,45
3262,00;67,43
3260,00;67,41
3258,00;67,39
3256,00;67,37
3254,00;67,35
3252,00;67,33
3250,00;67,31
3248,00;67,29
3246,00;67,27
3244,00;67,25
3242,00;67,24
3240,00;67,22
3238,00;67,20
3236,00;67,18
3234,00;67,16
3232,00;67,14
3230,00;67,13
3228,00;67,11
3226,00;67,09
3224,00;67,07
3222,00;67,05
3220,00;67,03
3218,00;67,01
3216,00;66,99
3214,00;66,97
3212,00;66,95
