Created as New Dataset;
cm-1;%T
4000,00;96,66
3998,00;96,67
3996,00;96,68
3994,00;96,68
3992,00;96,68
3990,00;96,68
3988,00;96,68
3986,00;96,69
3984,00;96,70
3982,00;96,73
3980,00;96,75
3978,00;96,76
3976,00;96,74
3974,00;96,70
3972,00;96,64
3970,00;96,58
3968,00;96,53
3966,00;96,50
3964,00;96,49
3962,00;96,50
3960,00;96,51
3958,00;96,51
3956,00;96,51
3954,00;96,50
3952,00;96,49
3950,00;96,48
3948,00;96,47
3946,00;96,47
3944,00;96,46
3942,00;96,46
3940,00;96,46
3938,00;96,45
3936,00;96,45
3934,00;96,45
3932,00;96,45
3930,00;96,44
3928,00;96,44
3926,00;96,43
3924,00;96,43
3922,00;96,43
3920,00;96,43
3918,00;96,43
3916,00;96,43
3914,00;96,42
3912,00;96,40
3910,00;96,38
3908,00;96,36
3906,00;96,36
3904,00;96,37
3902,00;96,41
3900,00;96,46
3898,00;96,51
3896,00;96,55
3894,00;96,56
3892,00;96,55
3890,00;96,53
3888,00;96,50
3886,00;96,48
3884,00;96,47
3882,00;96,47
3880,00;96,47
3878,00;96,47
3876,00;96,47
3874,00;96,46
3872,00;96,45
3870,00;96,44
3868,00;96,43
3866,00;96,42
3864,00;96,40
3862,00;96,39
3860,00;96,37
3858,00;96,36
3856,00;96,34
3854,00;96,33
3852,00;96,32
3850,00;96,31
3848,00;96,31
3846,00;96,31
3844,00;96,32
3842,00;96,32
3840,00;96,33
3838,00;96,34
3836,00;96,34
3834,00;96,35
3832,00;96,36
3830,00;96,36
3828,00;96,37
3826,00;96,38
3824,00;96,39
3822,00;96,39
3820,00;96,40
3818,00;96,41
3816,00;96,42
3814,00;96,43
3812,00;96,44
3810,00;96,46
3808,00;96,47
3806,00;96,48
3804,00;96,49
3802,00;96,50
3800,00;96,52
3798,00;96,53
3796,00;96,54
3794,00;96,56
3792,00;96,57
3790,00;96,59
3788,00;96,61
3786,00;96,62
3784,00;96,63
3782,00;96,64
3780,00;96,65
3778,00;96,65
3776,00;96,65
3774,00;96,64
3772,00;96,64
3770,00;96,64
3768,00;96,63
3766,00;96,63
3764,00;96,63
3762,00;96,64
3760,00;96,64
3758,00;96,64
3756,00;96,65
3754,00;96,66
3752,00;96,66
3750,00;96,66
3748,00;96,65
3746,00;96,63
3744,00;96,61
3742,00;96,58
3740,00;96,55
3738,00;96,51
3736,00;96,48
3734,00;96,45
3732,00;96,43
3730,00;96,42
3728,00;96,41
3726,00;96,41
3724,00;96,41
3722,00;96,40
3720,00;96,39
3718,00;96,38
3716,00;96,36
3714,00;96,34
3712,00;96,30
3710,00;96,26
3708,00;96,22
3706,00;96,18
3704,00;96,13
3702,00;96,09
3700,00;96,05
3698,00;96,02
3696,00;96,00
3694,00;95,99
3692,00;95,97
3690,00;95,97
3688,00;95,97
3686,00;95,96
3684,00;95,95
3682,00;95,94
3680,00;95,93
3678,00;95,90
3676,00;95,88
3674,00;95,85
3672,00;95,81
3670,00;95,78
3668,00;95,76
3666,00;95,74
3664,00;95,73
3662,00;95,72
3660,00;95,72
3658,00;95,72
3656,00;95,73
3654,00;95,74
3652,00;95,76
3650,00;95,77
3648,00;95,78
3646,00;95,80
3644,00;95,81
3642,00;95,81
3640,00;95,82
3638,00;95,83
3636,00;95,83
3634,00;95,84
3632,00;95,85
3630,00;95,86
3628,00;95,88
3626,00;95,91
3624,00;95,94
3622,00;95,97
3620,00;96,01
3618,00;96,04
3616,00;96,07
3614,00;96,11
3612,00;96,14
3610,00;96,17
3608,00;96,20
3606,00;96,22
3604,00;96,25
3602,00;96,27
3600,00;96,29
3598,00;96,31
3596,00;96,33
3594,00;96,34
3592,00;96,36
3590,00;96,38
3588,00;96,40
3586,00;96,42
3584,00;96,44
3582,00;96,45
3580,00;96,47
3578,00;96,48
3576,00;96,50
3574,00;96,51
3572,00;96,52
3570,00;96,53
3568,00;96,54
3566,00;96,55
3564,00;96,55
3562,00;96,55
3560,00;96,55
3558,00;96,54
3556,00;96,53
3554,00;96,52
3552,00;96,50
3550,00;96,49
3548,00;96,47
3546,00;96,46
3544,00;96,45
3542,00;96,44
3540,00;96,43
3538,00;96,43
3536,00;96,42
3534,00;96,42
3532,00;96,42
3530,00;96,41
3528,00;96,41
3526,00;96,40
3524,00;96,40
3522,00;96,39
3520,00;96,38
3518,00;96,37
3516,00;96,36
3514,00;96,35
3512,00;96,34
3510,00;96,33
3508,00;96,32
3506,00;96,31
3504,00;96,30
3502,00;96,30
3500,00;96,29
3498,00;96,29
3496,00;96,29
3494,00;96,28
3492,00;96,28
3490,00;96,28
3488,00;96,28
3486,00;96,28
3484,00;96,28
3482,00;96,28
3480,00;96,28
