Created as New Dataset;
cm-1;%T
4000,00;99,26
3998,00;99,26
3996,00;99,26
3994,00;99,26
3992,00;99,26
3990,00;99,26
3988,00;99,26
3986,00;99,26
3984,00;99,26
3982,00;99,25
3980,00;99,25
3978,00;99,25
3976,00;99,25
3974,00;99,25
3972,00;99,25
3970,00;99,25
3968,00;99,25
3966,00;99,25
3964,00;99,24
3962,00;99,24
3960,00;99,24
3958,00;99,24
3956,00;99,24
3954,00;99,24
3952,00;99,24
3950,00;99,24
3948,00;99,24
3946,00;99,24
3944,00;99,24
3942,00;99,24
3940,00;99,24
3938,00;99,24
3936,00;99,24
3934,00;99,24
3932,00;99,24
3930,00;99,24
3928,00;99,23
3926,00;99,23
3924,00;99,23
3922,00;99,23
3920,00;99,23
3918,00;99,22
3916,00;99,22
3914,00;99,22
3912,00;99,22
3910,00;99,22
3908,00;99,22
3906,00;99,21
3904,00;99,21
3902,00;99,21
3900,00;99,21
3898,00;99,21
3896,00;99,21
3894,00;99,21
3892,00;99,21
3890,00;99,21
3888,00;99,21
3886,00;99,21
3884,00;99,21
3882,00;99,21
3880,00;99,21
3878,00;99,20
3876,00;99,20
3874,00;99,20
3872,00;99,20
3870,00;99,21
3868,00;99,22
3866,00;99,23
3864,00;99,23
3862,00;99,24
3860,00;99,24
3858,00;99,23
3856,00;99,22
3854,00;99,22
3852,00;99,22
3850,00;99,21
3848,00;99,21
3846,00;99,21
3844,00;99,20
3842,00;99,20
3840,00;99,19
3838,00;99,18
3836,00;99,18
3834,00;99,17
3832,00;99,16
3830,00;99,16
3828,00;99,15
3826,00;99,15
3824,00;99,14
3822,00;99,14
3820,00;99,14
3818,00;99,14
3816,00;99,13
3814,00;99,13
3812,00;99,13
3810,00;99,13
3808,00;99,13
3806,00;99,14
3804,00;99,14
3802,00;99,14
3800,00;99,14
3798,00;99,14
3796,00;99,14
3794,00;99,14
3792,00;99,14
3790,00;99,15
3788,00;99,15
3786,00;99,15
3784,00;99,15
3782,00;99,16
3780,00;99,16
3778,00;99,16
3776,00;99,16
3774,00;99,17
3772,00;99,17
3770,00;99,17
3768,00;99,17
3766,00;99,18
3764,00;99,18
3762,00;99,18
3760,00;99,18
3758,00;99,19
3756,00;99,19
3754,00;99,19
3752,00;99,20
3750,00;99,20
3748,00;99,20
3746,00;99,21
3744,00;99,21
3742,00;99,21
3740,00;99,21
3738,00;99,21
3736,00;99,21
3734,00;99,21
3732,00;99,20
3730,00;99,20
3728,00;99,20
3726,00;99,19
3724,00;99,19
3722,00;99,19
3720,00;99,19
3718,00;99,19
3716,00;99,18
3714,00;99,18
3712,00;99,18
3710,00;99,18
3708,00;99,18
3706,00;99,18
3704,00;99,18
3702,00;99,18
3700,00;99,18
3698,00;99,17
3696,00;99,17
3694,00;99,17
3692,00;99,16
3690,00;99,16
3688,00;99,15
3686,00;99,15
3684,00;99,14
3682,00;99,14
3680,00;99,14
3678,00;99,14
3676,00;99,14
3674,00;99,14
3672,00;99,13
3670,00;99,13
3668,00;99,13
3666,00;99,13
3664,00;99,13
3662,00;99,13
3660,00;99,13
3658,00;99,13
3656,00;99,13
3654,00;99,13
3652,00;99,13
3650,00;99,13
3648,00;99,13
3646,00;99,13
3644,00;99,13
3642,00;99,13
3640,00;99,13
3638,00;99,13
3636,00;99,13
3634,00;99,13
3632,00;99,13
3630,00;99,13
3628,00;99,13
3626,00;99,13
3624,00;99,13
3622,00;99,14
3620,00;99,14
3618,00;99,14
3616,00;99,14
3614,00;99,14
3612,00;99,15
3610,00;99,15
3608,00;99,15
3606,00;99,15
3604,00;99,15
3602,00;99,15
3600,00;99,15
3598,00;99,15
3596,00;99,15
3594,00;99,15
3592,00;99,15
3590,00;99,15
3588,00;99,15
3586,00;99,15
3584,00;99,15
3582,00;99,15
3580,00;99,15
3578,00;99,15
3576,00;99,15
3574,00;99,15
3572,00;99,15
3570,00;99,16
3568,00;99,16
3566,00;99,15
3564,00;99,15
3562,00;99,15
3560,00;99,15
3558,00;99,15
3556,00;99,15
3554,00;99,15
3552,00;99,15
3550,00;99,15
3548,00;99,15
3546,00;99,15
3544,00;99,15
3542,00;99,15
3540,00;99,15
3538,00;99,14
3536,00;99,14
3534,00;99,14
3532,00;99,14
3530,00;99,14
3528,00;99,14
3526,00;99,14
3524,00;99,14
3522,00;99,14
3520,00;99,14
3518,00;99,14
3516,00;99,14
3514,00;99,14
3512,00;99,14
3510,00;99,14
3508,00;99,13
3506,00;99,13
3504,00;99,13
3502,00;99,13
3500,00;99,13
3498,00;99,13
3496,00;99,13
3494,00;99,13
3492,00;99,13
3490,00;99,13
3488,00;99,14
3486,00;99,14
3484,00;99,14
3482,00;99,14
3480,00;99,14
3478,00;99,14
3476,00;99,14
3474,00;99,14
3472,00;99,14
3470,00;99,14
3468,00;99,14
3466,00;99,15
3464,00;99,15
3462,00;99,15
3460,00;99,15
3458,00;99,15
3456,00;99,15
3454,00;99,15
3452,00;99,15
3450,00;99,15
3448,00;99,15
3446,00;99,15
3444,00;99,15
3442,00;99,15
3440,00;99,14
3438,00;99,14
3436,00;99,14
3434,00;99,14
3432,00;99,13
3430,00;99,13
3428,00;99,13
3426,00;99,12
3424,00;99,12
3422,00;99,12
3420,00;99,11
3418,00;99,11
3416,00;99,11
3414,00;99,10
3412,00;99,10
3410,00;99,10
3408,00;99,10
3406,00;99,10
3404,00;99,10
3402,00;99,10
3400,00;99,10
3398,00;99,10
3396,00;99,10
3394,00;99,10
3392,00;99,10
3390,00;99,09
3388,00;99,09
3386,00;99,09
3384,00;99,09
3382,00;99,09
3380,00;99,09
3378,00;99,09
3376,00;99,09
3374,00;99,09
3372,00;99,09
3370,00;99,09
3368,00;99,10
3366,00;99,10
3364,00;99,10
3362,00;99,10
3360,00;99,10
3358,00;99,10
3356,00;99,09
3354,00;99,09
3352,00;99,09
3350,00;99,09
3348,00;99,09
3346,00;99,09
3344,00;99,09
3342,00;99,09
3340,00;99,09
3338,00;99,09
3336,00;99,09
3334,00;99,09
3332,00;99,09
3330,00;99,09
3328,00;99,09
3326,00;99,09
3324,00;99,09
3322,00;99,09
3320,00;99,10
3318,00;99,10
3316,00;99,10
3314,00;99,10
3312,00;99,10
3310,00;99,11
3308,00;99,11
3306,00;99,11
3304,00;99,11
3302,00;99,11
3300,00;99,11
3298,00;99,11
3296,00;99,12
3294,00;99,12
3292,00;99,11
3290,00;99,11
3288,00;99,11
3286,00;99,11
3284,00;99,11
3282,00;99,11
3280,00;99,11
3278,00;99,11
3276,00;99,11
3274,00;99,11
3272,00;99,11
3270,00;99,11
3268,00;99,11
3266,00;99,11
3264,00;99,12
3262,00;99,12
3260,00;99,12
3258,00;99,12
3256,00;99,12
3254,00;99,13
3252,00;99,13
3250,00;99,13
3248,00;99,13
3246,00;99,13
3244,00;99,13
3242,00;99,13
3240,00;99,13
3238,00;99,13
3236,00;99,13
3234,00;99,13
3232,00;99,13
3230,00;99,13
3228,00;99,12
3226,00;99,12
3224,00;99,12
3222,00;99,12
3220,00;99,12
3218,00;99,12
3216,00;99,12
3214,00;99,12
3212,00;99,12
3210,00;99,12
3208,00;99,12
3206,00;99,12
3204,00;99,13
3202,00;99,13
3200,00;99,13
3198,00;99,13
3196,00;99,13
3194,00;99,13
3192,00;99,13
3190,00;99,13
3188,00;99,13
3186,00;99,13
3184,00;99,13
3182,00;99,14
3180,00;99,14
3178,00;99,14
3176,00;99,14
3174,00;99,14
3172,00;99,14
3170,00;99,14
3168,00;99,14
3166,00;99,14
3164,00;99,14
3162,00;99,14
3160,00;99,14
3158,00;99,14
3156,00;99,14
3154,00;99,14
3152,00;99,14
3150,00;99,14
3148,00;99,14
3146,00;99,14
3144,00;99,14
3142,00;99,14
3140,00;99,14
3138,00;99,14
3136,00;99,14
3134,00;99,14
3132,00;99,14
3130,00;99,14
3128,00;99,14
3126,00;99,15
3124,00;99,15
3122,00;99,15
3120,00;99,15
3118,00;99,15
3116,00;99,16
3114,00;99,16
3112,00;99,16
3110,00;99,16
3108,00;99,17
3106,00;99,17
3104,00;99,17
3102,00;99,17
3100,00;99,18
3098,00;99,18
3096,00;99,18
3094,00;99,18
3092,00;99,18
3090,00;99,19
3088,00;99,19
3086,00;99,19
3084,00;99,19
3082,00;99,19
3080,00;99,19
3078,00;99,20
3076,00;99,20
3074,00;99,20
3072,00;99,20
3070,00;99,20
3068,00;99,20
3066,00;99,20
3064,00;99,20
3062,00;99,20
3060,00;99,20
3058,00;99,21
3056,00;99,21
3054,00;99,21
3052,00;99,22
3050,00;99,23
3048,00;99,23
3046,00;99,24
3044,00;99,25
3042,00;99,26
3040,00;99,27
3038,00;99,28
3036,00;99,29
3034,00;99,29
3032,00;99,30
3030,00;99,31
3028,00;99,32
3026,00;99,32
3024,00;99,33
3022,00;99,33
3020,00;99,34
3018,00;99,34
3016,00;99,34
3014,00;99,34
3012,00;99,34
3010,00;99,34
3008,00;99,34
3006,00;99,34
3004,00;99,34
3002,00;99,33
3000,00;99,33
2998,00;99,33
2996,00;99,33
2994,00;99,33
2992,00;99,32
2990,00;99,32
2988,00;99,32
2986,00;99,33
2984,00;99,33
2982,00;99,33
